%% LaTeX2e file `circ_ilp.data'
%% generated by the `filecontents' environment
%% from source `circular_sparse' on 2015/06/19.
%%
#MOPS   Power [mW]
2, 3
3, 7
4, 13
5, 21
6, 31
7, 39
8, 51
9, 65
