Frequency  	Phase      
16180218.24 	-91.1354778 
16216642.31 	-91.138722  
16253148.37 	-91.1419719 
16289736.62 	-91.1452277 
16326407.23 	-91.1484892 
16363160.4  	-91.1517567 
16399996.3  	-91.1550299 
16436915.12 	-91.1583091 
16473917.05 	-91.1615941 
16511002.28 	-91.164885  
16548171    	-91.1681818 
16585423.39 	-91.1714846 
16622759.63 	-91.1747933 
16660179.93 	-91.178108  
16697684.47 	-91.1814287 
16735273.43 	-91.1847554 
16772947.01 	-91.1880881 
16810705.4  	-91.1914269 
16848548.79 	-91.1947717 
16886477.38 	-91.1981225 
16924491.34 	-91.2014795 
16962590.88 	-91.2048426 
17000776.19 	-91.2082117 
17039047.46 	-91.2115871 
17077404.88 	-91.2149686 
17115848.65 	-91.2183562 
17154378.96 	-91.2217501 
17192996.01 	-91.2251502 
17231700    	-91.2285565 
17270491.11 	-91.231969  
17309369.55 	-91.2353878 
17348335.5  	-91.2388129 
17387389.18 	-91.2422443 
17426530.77 	-91.245682  
17465760.48 	-91.249126  
17505078.49 	-91.2525764 
17544485.02 	-91.2560331 
17583980.26 	-91.2594962 
17623564.41 	-91.2629658 
17663237.66 	-91.2664417 
17703000.23 	-91.2699241 
17742852.31 	-91.273413  
17782794.1  	-91.2769083 
17822825.81 	-91.2804101 
17862947.63 	-91.2839184 
17903159.77 	-91.2874333 
17943462.44 	-91.2909547 
17983855.84 	-91.2944827 
18024340.16 	-91.2980172 
18064915.63 	-91.3015584 
18105582.43 	-91.3051061 
18146340.78 	-91.3086606 
18187190.89 	-91.3122216 
18228132.95 	-91.3157894 
18269167.18 	-91.3193638 
18310293.78 	-91.3229449 
18351512.97 	-91.3265328 
18392824.95 	-91.3301274 
18434229.92 	-91.3337288 
18475728.11 	-91.337337  
18517319.71 	-91.3409519 
18559004.95 	-91.3445737 
18600784.02 	-91.3482023 
18642657.14 	-91.3518378 
18684624.53 	-91.3554802 
18726686.39 	-91.3591295 
18768842.94 	-91.3627856 
18811094.38 	-91.3664487 
18853440.95 	-91.3701188 
18895882.84 	-91.3737958 
18938420.27 	-91.3774799 
18981053.47 	-91.3811709 
19023782.63 	-91.3848689 
19066607.99 	-91.388574  
19109529.75 	-91.3922862 
19152548.13 	-91.3960055 
19195663.36 	-91.3997318 
19238875.65 	-91.4034653 
19282185.21 	-91.4072059 
19325592.27 	-91.4109537 
19369097.04 	-91.4147087 
19412699.75 	-91.4184708 
19456400.62 	-91.4222402 
19500199.86 	-91.4260169 
19544097.7  	-91.4298007 
19588094.36 	-91.4335919 
19632190.07 	-91.4373903 
19676385.04 	-91.4411961 
19720679.5  	-91.4450092 
19765073.67 	-91.4488297 
19809567.79 	-91.4526575 
19854162.06 	-91.4564928 
19898856.72 	-91.4603354 
19943652    	-91.4641855 
19988548.12 	-91.468043  
20033545.3  	-91.4719081 
20078643.79 	-91.4757806 
20123843.79 	-91.4796606 
20169145.55 	-91.4835481 
20214549.28 	-91.4874433 
20260055.23 	-91.4913459 
20305663.62 	-91.4952562 
20351374.68 	-91.4991741 
20397188.64 	-91.5030996 
20443105.74 	-91.5070328 
20489126.2  	-91.5109737 
20535250.26 	-91.5149222 
20581478.16 	-91.5188785 
20627810.12 	-91.5228425 
20674246.38 	-91.5268143 
20720787.17 	-91.5307938 
20767432.74 	-91.5347811 
20814183.31 	-91.5387763 
20861039.12 	-91.5427793 
20908000.41 	-91.5467901 
20955067.42 	-91.5508089 
21002240.39 	-91.5548355 
21049519.54 	-91.5588701 
21096905.13 	-91.5629126 
21144397.4  	-91.566963  
21191996.57 	-91.5710215 
21239702.9  	-91.5750879 
21287516.62 	-91.5791624 
21335437.97 	-91.5832449 
21383467.21 	-91.5873355 
21431604.57 	-91.5914342 
21479850.29 	-91.595541  
21528204.61 	-91.5996559 
21576667.79 	-91.6037789 
21625240.07 	-91.6079102 
21673921.7  	-91.6120496 
21722712.91 	-91.6161973 
21771613.96 	-91.6203532 
21820625.09 	-91.6245173 
21869746.55 	-91.6286898 
21918978.59 	-91.6328705 
21968321.46 	-91.6370596 
22017775.41 	-91.641257  
22067340.69 	-91.6454628 
22117017.55 	-91.6496769 
22166806.23 	-91.6538995 
22216707    	-91.6581305 
22266720.1  	-91.66237   
22316845.79 	-91.6666179 
22367084.32 	-91.6708744 
22417435.95 	-91.6751393 
22467900.92 	-91.6794128 
22518479.49 	-91.6836949 
22569171.93 	-91.6879856 
22619978.48 	-91.6922848 
22670899.41 	-91.6965927 
22721934.97 	-91.7009093 
22773085.41 	-91.7052345 
22824351    	-91.7095684 
22875732    	-91.7139111 
