Freq,Value
1300941634.0,-658.802679
1306805451.0,-659.003986
1312695700.0,-659.204633
1315650772.0,-659.304712
1321580890.0,-659.504387
1327537736.0,-659.703427
1330526220.0,-659.802711
1336523387.0,-660.000813
1342547584.0,-660.198302
1345569858.0,-660.296819
1351634832.0,-660.493403
1357727142.0,-660.689394
1360783587.0,-660.787169
1366917135.0,-660.982285
1369994268.0,-661.079627
1376169331.0,-661.273884
1382372227.0,-661.467578
1385484152.0,-661.564217
1391729034.0,-661.757079
1394862022.0,-661.853305
1401149174.0,-662.045351
1407464663.0,-662.236859
1410633075.0,-662.332415
1416991312.0,-662.52313
1420181170.0,-662.618292
1426582444.0,-662.808227
1429793892.0,-662.903002
1436238494.0,-663.09217
1442712144.0,-663.280833
1445959903.0,-663.374976
1452477371.0,-663.562891
1455747113.0,-663.656664
1462308696.0,-663.843842
1465600569.0,-663.937249
1472206565.0,-664.123701
1475520720.0,-664.216748
1482171429.0,-664.402484
1485508017.0,-664.495175
1492203743.0,-664.680205
1495562915.0,-664.772545
1502303962.0,-664.956879
1505685871.0,-665.048873
1512472545.0,-665.232518
1515877345.0,-665.32417
1519289810.0,-665.415709
1526137803.0,-665.598449
1529573365.0,-665.689652
1536467709.0,-665.871723
1539926526.0,-665.962592
1546867536.0,-666.144002
1550349764.0,-666.234542
1557337755.0,-666.415297
1560843553.0,-666.505512
1564357244.0,-666.595619
1571408372.0,-666.775511
1574945845.0,-666.865296
1582044699.0,-667.044549
1585606117.0,-667.134016
1589175551.0,-667.223378
1596338544.0,-667.401787
1599932139.0,-667.490834
1607143616.0,-667.668617
1610761535.0,-667.757352
1614387598.0,-667.845985
1621664231.0,-668.02294
1625314837.0,-668.111264
1628973662.0,-668.199486
1636316040.0,-668.375623
1639999630.0,-668.46354
1647391705.0,-668.639069
1651100228.0,-668.726682
1654817100.0,-668.814195
1662275963.0,-668.988919
1666017993.0,-669.076131
1669768447.0,-669.163244
1677294701.0,-669.337171
1681070540.0,-669.423986
1684854879.0,-669.510702
1688647738.0,-669.597319
1696259088.0,-669.770258
1700077619.0,-669.85658
1703904746.0,-669.942804
1711584865.0,-670.114959
1715437896.0,-670.200891
1719299601.0,-670.286725
1727049111.0,-670.458101
1730936955.0,-670.543644
1734833550.0,-670.629091
1738738918.0,-670.714441
1746576048.0,-670.884851
1750507849.0,-670.969912
1754448502.0,-671.054877
1758398026.0,-671.139746
1766323766.0,-671.309196
1770300023.0,-671.393779
1774285231.0,-671.478265
1778279410.0,-671.562657
1786294763.0,-671.731154
1790315977.0,-671.81526
1794346244.0,-671.899271
1798385584.0,-671.983188
1806491563.0,-672.150736
1810558243.0,-672.234369
1814634078.0,-672.317907
1818719089.0,-672.401351
1826916718.0,-672.567956
1831029378.0,-672.651118
1835151297.0,-672.734185
1839282495.0,-672.817159
1843422992.0,-672.900038
