Frequency  	Gain       
16697684.47 	-118.970318 
16735273.43 	-118.911605 
16772947.01 	-118.852892 
16810705.4  	-118.794178 
16848548.79 	-118.735463 
16886477.38 	-118.676748 
16924491.34 	-118.618033 
16962590.88 	-118.559316 
17000776.19 	-118.5006   
17039047.46 	-118.441883 
17077404.88 	-118.383165 
17115848.65 	-118.324446 
17154378.96 	-118.265728 
17192996.01 	-118.207008 
17231700    	-118.148288 
17270491.11 	-118.089567 
17309369.55 	-118.030846 
17348335.5  	-117.972124 
17387389.18 	-117.913402 
17426530.77 	-117.854679 
17465760.48 	-117.795956 
17505078.49 	-117.737232 
17544485.02 	-117.678507 
17583980.26 	-117.619782 
17623564.41 	-117.561056 
17663237.66 	-117.50233  
17703000.23 	-117.443603 
17742852.31 	-117.384875 
17782794.1  	-117.326147 
17822825.81 	-117.267418 
17862947.63 	-117.208688 
17903159.77 	-117.149958 
17943462.44 	-117.091228 
17983855.84 	-117.032496 
18024340.16 	-116.973764 
18064915.63 	-116.915032 
18105582.43 	-116.856299 
18146340.78 	-116.797565 
18187190.89 	-116.738831 
18228132.95 	-116.680095 
18269167.18 	-116.62136  
18310293.78 	-116.562623 
18351512.97 	-116.503887 
18392824.95 	-116.445149 
18434229.92 	-116.386411 
18475728.11 	-116.327672 
18517319.71 	-116.268932 
18559004.95 	-116.210192 
18600784.02 	-116.151451 
18642657.14 	-116.092709 
18684624.53 	-116.033967 
18726686.39 	-115.975224 
18768842.94 	-115.916481 
18811094.38 	-115.857737 
18853440.95 	-115.798992 
18895882.84 	-115.740246 
18938420.27 	-115.6815   
18981053.47 	-115.622753 
19023782.63 	-115.564005 
19066607.99 	-115.505257 
19109529.75 	-115.446508 
19152548.13 	-115.387758 
19195663.36 	-115.329008 
19238875.65 	-115.270256 
19282185.21 	-115.211505 
19325592.27 	-115.152752 
19369097.04 	-115.093999 
19412699.75 	-115.035245 
19456400.62 	-114.97649  
19500199.86 	-114.917734 
19544097.7  	-114.858978 
19588094.36 	-114.800221 
19632190.07 	-114.741464 
19676385.04 	-114.682705 
19720679.5  	-114.623946 
19765073.67 	-114.565186 
19809567.79 	-114.506426 
19854162.06 	-114.447664 
19898856.72 	-114.388902 
19943652    	-114.330139 
19988548.12 	-114.271375 
20033545.3  	-114.212611 
20078643.79 	-114.153846 
20123843.79 	-114.09508  
20169145.55 	-114.036313 
20214549.28 	-113.977546 
20260055.23 	-113.918777 
20305663.62 	-113.860008 
20351374.68 	-113.801238 
20397188.64 	-113.742468 
20443105.74 	-113.683696 
20489126.2  	-113.624924 
20535250.26 	-113.566151 
20581478.16 	-113.507377 
20627810.12 	-113.448602 
20674246.38 	-113.389827 
20720787.17 	-113.33105  
20767432.74 	-113.272273 
